Study_ID,Scientific_name,Lay_name,Species_higher_taxon,Name_tax_rank,Comment,redlistCategory,systems,realm,Economically_relevant,Charismatic_species,Weight,Dietary_class
P_0023,Ictalurus punctatus,Channel catfish,Actinopterygii,species,,Least Concern,Freshwater (=Inland waters),Nearctic,No,No,26300,Carnivore/Piscivore
P_0023,Lepomis gibbosus,Pumpkinseed,Actinopterygii,species,,Least Concern,Freshwater (=Inland waters),Nearctic,No,No,630,Carnivore/Piscivore
P_0023,Lepomis macrochirus,Bluegill sunfish,Actinopterygii,species,,Least Concern,Freshwater (=Inland waters),Nearctic|Neotropical,Yes,No,2150,Carnivore/Piscivore
P_0023,Micropterus salmoides,Largemouth bass,Actinopterygii,species,,Least Concern,Freshwater (=Inland waters),Nearctic,No,No,10090,Carnivore/Piscivore
P_0023,Morone americana,White perch,Actinopterygii,species,,Least Concern,Freshwater (=Inland waters)|Marine,Nearctic,No,No,2720,NA
P_0023,Perca flavescens,Yellow perch,Actinopterygii,species,,Least Concern,Freshwater (=Inland waters),Nearctic,No,No,1910,Carnivore/Piscivore
P_0024,Anomalocardia brasiliana,Clam_2,Bivalvia,species,,No IUCN assessment,NA,NA,No,No,NA,NA
P_0024,Aspistor luniscutis,Brazilian catfish,Actinopterygii,species,,No IUCN assessment,NA,NA,No,No,144,Carnivore/Piscivore
P_0024,Callinectes sapidus,Blue crab,Malacostraca,species,,No IUCN assessment,NA,NA,No,No,NA,NA
P_0024,Caranx,Trevally_genus,Actinopterygii,genus,,No IUCN assessment,NA,NA,No,No,NA,NA
P_0024,Cathorops spixii,Madamango sea catfish,Actinopterygii,species,,No IUCN assessment,NA,NA,No,No,97.5,Carnivore/Piscivore
P_0024,Centropomus parallelus,Fat snook,Actinopterygii,species,,Least Concern,Freshwater (=Inland waters)|Marine,Nearctic|Neotropical,Yes,No,5000,NA
P_0024,Centropomus undecimalis,Common snook,Actinopterygii,species,,Least Concern,Freshwater (=Inland waters)|Marine,Neotropical,Yes,No,24320,Carnivore/Piscivore
P_0024,Crassostrea brasiliana,Mangrove oyster,Bivalvia,species,,No IUCN assessment,NA,NA,No,No,NA,NA
P_0024,Crassostrea rhizophorae,Mangrove cupped oyster,Bivalvia,species,,No IUCN assessment,NA,NA,No,No,NA,NA
P_0024,Ctenosciaena gracilicirrhus,Barbel drum,Actinopterygii,species,,Least Concern,Marine,,No,No,77.19999695,Carnivore/Piscivore
P_0024,Diapterus,Mojarra_genua,Actinopterygii,genus,,No IUCN assessment,NA,NA,No,No,NA,NA
P_0024,Eucinostomus,Silver jenny_genus,Actinopterygii,genus,,No IUCN assessment,NA,NA,No,No,NA,NA
P_0024,Genyatremus luteus,Torroto grunt,Actinopterygii,species,,No IUCN assessment,NA,NA,No,No,800,NA
P_0024,Goniopsis cruentata,Mangrove tree crab,Malacostraca,species,,No IUCN assessment,NA,NA,No,No,NA,NA
P_0024,Litopenaeus,Whiteleg shrimp_genus,Malacostraca,genus,,No IUCN assessment,NA,NA,No,No,NA,NA
P_0024,Mugil,Mullet_genus_2,Actinopterygii,genus,,No IUCN assessment,NA,NA,No,No,NA,NA
P_0024,Mytella guyanensis,Mangrove shellfish,Bivalvia,species,,No IUCN assessment,NA,NA,No,No,NA,NA
P_0024,Polychaeta,Bristle worm_class,Polychaeta,class,,No IUCN assessment,NA,NA,No,No,NA,NA
P_0024,Stellifer,Drum_genus,Actinopterygii,genus,,No IUCN assessment,NA,NA,No,No,NA,NA
P_0024,Tagelus plebeius,Stout tagelus,Bivalvia,species,,No IUCN assessment,NA,NA,No,No,NA,NA
P_0024,Ucides cordatus,Swamp ghost crab,Malacostraca,species,,No IUCN assessment,NA,NA,No,No,NA,NA
P_0025,Myodes glareolus,Bank vole,Mammalia,species,,Least Concern,Terrestrial,Palearctic,No,No,20.73,Omnivore
P_0026,Clupea harengus,Baltic herring,Actinopterygii,species,,Least Concern,Marine,Nearctic|Palearctic,Yes,No,1050,Carnivore/Piscivore
P_0026,Haliaeetus albicilla,White-tailed sea eagle,Aves,species,,Least Concern,Terrestrial|Freshwater (=Inland waters)|Marine,Afrotropical|Indomalayan|Palearctic,No,No,4729.27,Carnivore/Piscivore
P_0026,Halichoerus grypus,Grey seal,Mammalia,species,,Least Concern,Terrestrial|Marine,Nearctic|Palearctic,Yes,No,157667,Carnivore/Piscivore
P_0026,Mytilus edulis,Blue mussel,Bivalvia,species,,No IUCN assessment,NA,NA,No,No,NA,NA
P_0026,Phoca vitulina,Harbour seal,Mammalia,species,,Least Concern,Terrestrial|Freshwater (=Inland waters)|Marine,Nearctic|Palearctic,Yes,No,1.00E+05,Carnivore/Piscivore
P_0026,Phocoena phocoena,Harbour porpoise,Mammalia,species,,Least Concern,Marine,Afrotropical|Nearctic|Palearctic,Yes,No,52500,Carnivore/Piscivore
P_0026,Somateria mollissima,Common eider,Aves,species,,Near Threatened,Terrestrial|Marine,Nearctic|Palearctic,No,No,2060.93,Carnivore/Piscivore
P_0026,Uria aalge,Common guillemot,Aves,species,,Least Concern,Terrestrial|Marine,Nearctic|Palearctic,No,No,991.93,Carnivore/Piscivore
P_0026,Zoarces viviparus,Eelpout,Actinopterygii,species,,No IUCN assessment,NA,NA,No,No,510,NA
P_0028,Delphinapterus leucas,Beluga whale,Mammalia,species,,Least Concern,Marine,Nearctic|Palearctic,Yes,Yes,1360000,Carnivore/Piscivore
P_0029,Parus major,Great tit,Aves,species,,Least Concern,Terrestrial,Indomalayan|Oceanian|Palearctic,No,No,16.25,Omnivore
P_0030,Amphipoda,Amphipod_order,Malacostraca,order,,No IUCN assessment,NA,NA,No,No,NA,NA
P_0030,Anisoptera,Dragonfly_infraorder,Insecta,infraorder,,No IUCN assessment,NA,NA,No,No,NA,NA
P_0030,Araneae,Spider,Arachnida,order,,No IUCN assessment,NA,NA,No,No,NA,NA
