Study_ID,Scientific_name,Lay_name,Species_higher_taxon,Name_tax_rank,Comment
P_0068,Barbus barbus,Common barbel,Actinopterygii,species,
P_0068,Gobio gobio,Gudgeon,Actinopterygii,species,
P_0068,Rutilus rutilus,Common roach,Actinopterygii,species,
P_0069,Aetobatus narinari,White-spotted eagle ray,Chondrichthyes,species,
P_0069,Himantura astra,Black-spotted whipray,Chondrichthyes,species,
P_0069,Himantura toshi,Brown whipray,Chondrichthyes,species,
P_0069,Himantura uarnak,Reticulated whipray,Chondrichthyes,species,
P_0069,Neotrygon kuhlii,Blue-spotted ray,Chondrichthyes,species,
P_0070,Alligator mississippiensis,American alligator,Reptilia,species,
P_0071,Malaclemys terrapin,Diamondback terrapin,Reptilia,species,
P_0072,Accipiter gentilis,Northern goshawk,Aves,species,
P_0072,Aegypius monachus,Cinereous vulture,Aves,species,
P_0072,Anas poecilorhyncha,Spot-billed duck,Aves,species,
P_0072,Bubo bubo,Eurasian eagle owl,Aves,species,
P_0072,Buteo buteo,Common buzzard,Aves,species,
P_0072,Falco tinnunculus,Common kestrel,Aves,species,
P_0072,Larus crassirostris,Black-tailed gull,Aves,species,
P_0072,Ninox scutulata,Brown hawk owl,Aves,species,
P_0072,Otus lempiji,Collared scops owl,Aves,species,
P_0072,Streptopelia orientalis,Oriental turtle dove,Aves,species,
P_0073,Delphinapterus leucas,Beluga whale,Mammalia,species,
P_0074,Gobio gobio,Gudgeon,Actinopterygii,species,
P_0074,Squalius cephalus,European chub,Actinopterygii,species,
P_0075,Arctocephalus gazella,Antarctic fur seal,Mammalia,species,
P_0075,Euphausia superba,Antarctic krill,Malacostraca,species,
P_0075,Leptonychotes weddellii,Weddell seal,Mammalia,species,
P_0075,Megaptera novaeangliae,Humpback whale,Mammalia,species,
P_0075,Procellaria aequinoctialis,White-chinned petrel,Aves,species,
P_0075,Pygoscelis adeliae,Adelie penguin,Aves,species,
P_0075,Thalassoica antarctica,Antarctic petrel,Aves,species,
P_0076,Ursus maritimus,Polar bear,Mammalia,species,
P_0078,Engraulis encrasicolus,European anchovy,Actinopterygii,species,
P_0078,Larus audouinii,Audouin's gull,Aves,species,
P_0078,Larus michahellis,Yellow-legged gull,Aves,species,
P_0078,Palinuridae,Spiny lobster_family,Malacostraca,family,
P_0078,Sardina,Sardine_genus,Actinopterygii,genus,
P_0079,Rissa tridactyla,Black-legged kittiwake,Aves,species,
P_0080,Rissa tridactyla,Black-legged kittiwake,Aves,species,
P_0081,Pusa hispida,Ringed seal,Mammalia,species,
P_0081,Ursus maritimus,Polar bear,Mammalia,species,
P_0082,Pusa hispida,Ringed seal,Mammalia,species,
P_0083,Salmo trutta,Brown trout,Actinopterygii,species,
P_0083,Salvelinus alpinus,Arctic char,Actinopterygii,species,
P_0084,Balaenoptera acutorostrata,Minke whale,Mammalia,species,
P_0084,Cepphus grylle,Black guillemot,Aves,species,
P_0084,Fulmarus glacialis,Northern fulmar,Aves,species,
P_0084,Globicephala melas,Long-finned pilot whale,Mammalia,species,
P_0084,Myoxocephalus scorpius,Shorthorn sculpin,Actinopterygii,species,
P_0084,Pusa hispida,Ringed seal,Mammalia,species,
P_0084,Ursus maritimus,Polar bear,Mammalia,species,
P_0085,Anguilla anguilla,European eel,Actinopterygii,species,
P_0085,Mytilus edulis,Blue mussel,Bivalvia,species,
P_0085,Platichthys flesus,European flounder,Actinopterygii,species,
P_0085,Pleuronectes platessa,European plaice,Actinopterygii,species,
P_0086,Ursus maritimus,Polar bear,Mammalia,species,
P_0087,Crocodylus niloticus,South african crocodile,Reptilia,species,
P_0088,Larus dominicanus,Kelp gull,Aves,species,
P_0088,Morus capensis,Cape gannet,Aves,species,
P_0088,Spheniscus demersus,African penguin,Aves,species,
P_0090,Ammodytes,Sand lance,Actinopterygii,genus,
P_0090,Boreogadus saida,Polar cod,Actinopterygii,species,
P_0090,Eumesogrammus praecisus,Fourline snake blenny,Actinopterygii,species,
P_0090,Gymnelis viridis,Fish doctor,Actinopterygii,species,
P_0090,Gymnocanthus tricuspis,Arctic staghorn sculpin,Actinopterygii,species,
P_0090,Leptagonus decagonus,Atlantic poacher,Actinopterygii,species,
P_0090,Leptoclinus maculatus,Daubed shanny,Actinopterygii,species,
P_0090,Liparis,Snailfish_genus,Actinopterygii,genus,
P_0090,Mallotus villosus,Capelin,Actinopterygii,species,
P_0090,Pholis fasciata,Banded gunnel,Actinopterygii,species,
P_0090,Stichaeus punctatus,Arctic shanny,Actinopterygii,species,
P_0090,Triglops,Sculpin,Actinopterygii,genus,
P_0091,Fulmarus glacialis,Northern fulmar,Aves,species,
P_0091,Uria lomvia,Thick-billed murre,Aves,species,
P_0092,Cepphus grylle,Black guillemot,Aves,species,
P_0092,Fulmarus glacialis,Northern fulmar,Aves,species,
P_0092,Larus hyperboreus,Glaucous gull,Aves,species,
P_0092,Rissa tridactyla,Black-legged kittiwake,Aves,species,
P_0092,Uria lomvia,Thick-billed murre,Aves,species,
P_0093,Fulmarus glacialis,Northern fulmar,Aves,species,
P_0094,Accipiter gentilis,Northern goshawk,Aves,species,
P_0094,Haliaeetus albicilla,White-tailed sea eagle,Aves,species,
P_0095,Larus fuscus,Lesser black-backed gull,Aves,species,
P_0096,Gadus morhua,Atlantic cod,Actinopterygii,species,
P_0096,Pollachius virens,Saithe,Actinopterygii,species,
P_0097,Strix aluco,Tawny owl,Aves,species,
P_0098,Fulmarus glacialis,Northern fulmar,Aves,species,
P_0098,Uria lomvia,Thick-billed murre,Aves,species,
P_0099,Barbus graellsii,Ebro barbel,Actinopterygii,species,
P_0099,Cyprinus carpio,Common carp,Actinopterygii,species,
P_0099,Micropterus salmoides,Largemouth bass,Actinopterygii,species,
P_0100,Phalacrocorax aristotelis,European shag,Aves,species,
P_0101,Squalius cephalus,European chub,Actinopterygii,species,
P_0102,Abramis brama,Common bream,Actinopterygii,species,
P_0102,Alburnus alburnus,Common bleak,Actinopterygii,species,
P_0102,Barbus barbus,Common barbel,Actinopterygii,species,
P_0102,Gobio gobio,Gudgeon,Actinopterygii,species,
P_0102,Leuciscus idus,Ide,Actinopterygii,species,
P_0102,Leuciscus leuciscus,Common dace,Actinopterygii,species,
P_0102,Pseudorasbora parva,Stone moroko,Actinopterygii,species,
P_0102,Rhodeus amarus,European bitterling,Actinopterygii,species,
P_0102,Rutilus rutilus,Common roach,Actinopterygii,species,
P_0102,Squalius cephalus,European chub,Actinopterygii,species,
P_0102,Vimba vimba,Vimba bream,Actinopterygii,species,
P_0103,Acanthogobius ommaturus,Asian goby,Actinopterygii,species,
P_0103,Acanthopagrus schlegeli,Black seabream,Actinopterygii,species,
P_0103,Argopecten irradias,Bay scallop,Bivalvia,species,
P_0103,Argyrosomus argentatus,White croaker,Actinopterygii,species,
P_0103,Chelidonichthys spinosus,Bluefin gunard,Actinopterygii,species,
P_0103,Konosirus punctatus,Dotted gizzard shad,Actinopterygii,species,
P_0103,Lateolabrax maculatus,Spotted sea bass,Actinopterygii,species,
P_0103,Mactra veneriformis,Japanese surf clam,Bivalvia,species,
P_0103,Mugil soiuy,So-iuy mullet,Actinopterygii,species,
P_0103,Octopoda,Octopus_order,Cephalopoda,order,
P_0103,Paralichthys olivaceus,Japanese flounder,Actinopterygii,species,
P_0103,Penaeus chinensis,Chinese white shrimp,Malacostraca,species,
P_0103,Platycephalus indicus,Bartail flathead,Actinopterygii,species,
P_0103,Rapana venosa,Asian rapa whelk,Gastropoda,species,
P_0103,Ruditapes philippinarum,Manila clam,Bivalvia,species,
P_0103,Sebastes schlegelii,Korean rockfish,Actinopterygii,species,
P_0105,Crocodylus niloticus,South african crocodile,Reptilia,species,
P_0106,Percopsis omiscomaycus,Trout perch,Actinopterygii,species,
P_0106,Platichthys flesus,European flounder,Actinopterygii,species,
P_0106,Salvelinus namaycush,Lake trout,Actinopterygii,species,
P_0107,Phoebastria nigripes,Black-footed albatross,Aves,species,
P_0108,Carcharhinus leucas,Bull shark,Chondrichthyes,species,
P_0108,Galeocerdo cuvier,Tiger shark,Chondrichthyes,species,
P_0109,Ammospermophilus leucurus,White-tailed antelope squirrel,Mammalia,species,
P_0109,Araneae,Spider,Arachnida,order,
P_0109,Chaetodipus formosus,Long-tailed pocket mouse,Mammalia,species,
P_0109,Coleoptera,Beetle_order,Insecta,order,
P_0109,Dipodomys merriami,Merriam's kangaroo rat,Mammalia,species,
P_0109,Hymenoptera,Insect_order_1,Insecta,order,
P_0109,Neotoma lepida,Desert woodrat,Mammalia,species,
P_0109,Scorpiones,Scorpion_order,Arachnida,order,
P_0110,Micropterus salmoides,Largemouth bass,Actinopterygii,species,
P_0111,Amblyraja hyperborea,Arctic skate,Chondrichthyes,species,
P_0111,Amphipoda,Amphipod_order,Malacostraca,order,
P_0111,Arctogadus glacialis,Arctic cod,Actinopterygii,species,
P_0111,Ascidiacea,Sea squirt_class,Ascidiacea,class,
P_0111,Asteroidea,Starfish_class,Asteroidea,class,
P_0111,Bivalvia,Clam_class,Bivalvia,class,
